name,parseDate,price,search_city,url
Тригрим 10 мг № 30 табл.,2023-03-28,3 441, Алматы,https://europharma.kz/trigrim-10-mg-no-30-tabl
Доксилан 100 мг № 10 табл,2023-03-28,1 687, Алматы,https://europharma.kz/doksilan-100-mg-no-10-tabl
Пантап 40 мг № 14 табл,2023-03-28,2 814, Алматы,https://europharma.kz/pantap-40-mg-no-14-tabl
Аджисепт со вкусом меда и лимона № 24 леденцы,2023-03-28,1 043, Алматы,https://europharma.kz/adzhisept-so-vkusom-meda-i-limona-no-24-ledentsy
Эвказолин Аква 1 мг/г 10 мл спрей назальный,2023-03-28,1 664, Алматы,https://europharma.kz/evkazolin-akva-1-mgg-10-ml-sprey-nazalnyy
Сиалис 20 мг № 4 табл,2023-03-28,30 175, Алматы,https://europharma.kz/sialis-20-mg-no-4-tabl
Линкас Лор № 16 табл.д/рассасыв-я апельсин,2023-03-28,583, Алматы,https://europharma.kz/linkas-lor-no-16-tabldrassasyv-ya-apelsin
Кардиомагнил 75 мг № 100 табл п/плён оболоч,2023-03-28,1 348, Алматы,https://europharma.kz/kardiomagnil-75-mg-no-100-tabl-pplen-oboloch-2
Капсикам д/наруж применения 50 гр мазь,2023-03-28,3 558, Алматы,https://europharma.kz/kapsikam-dnaruzh-primeneniya-50-gr-maz
Карсил № 80 табл,2023-03-28,2 940, Алматы,https://europharma.kz/karsil-no-80-tabl
"Ротокан 100 мл, капли",2023-03-28,488, Алматы,https://europharma.kz/rotokan-100-ml-kapli
Dolphi презервативы классические № 3 шт,2023-03-28,715, Алматы,https://europharma.kz/dolphi-prezervativy-klassicheskiye-no-3-sht
Окутиарз 10 мл капли глазные,2023-03-28,4 753, Алматы,https://europharma.kz/okutiarz-10-ml-kapli-glaznyye
Аджисепт со вкусом лимона № 24 леденцы,2023-03-28,1 043, Алматы,https://europharma.kz/adzhisept-so-vkusom-limona-no-24-ledentsy
Фитолизин nefro CAPS  № 30 капс,2023-03-28,3 540, Алматы,https://europharma.kz/fitolizin-nefro-caps-no-30-kaps
Сертоцеф порошок д/приготовления р-р для инъекций растворителем 100 мг №1,2023-03-28,2 348, Алматы,https://europharma.kz/sertocef-porosok-dprigotovlenia-r-r-dla-inekcij-rastvoritelem-100-mg-no1
Тригрим 5 мг № 30 табл.,2023-03-28,3 194, Алматы,https://europharma.kz/trigrim-5-mg-no-30-tabl
Аденурик 80 мг № 28 табл п/плён оболоч,2023-03-28,12 588, Алматы,https://europharma.kz/adenurik-80-mg-no-28-tabl-pplen-oboloch
"Комплигам В 2 мл, №5, р-р д/и",2023-03-28,2 249, Алматы,https://europharma.kz/kompligam-v-2-ml-no5-r-r-di
Аджисепт со вкусом ананаса № 24 леденцы,2023-03-28,1 000, Алматы,https://europharma.kz/adzhisept-so-vkusom-ananasa-no-24-ledentsy
"Индапамид SR 1,5 мг, №30, табл.",2023-03-28,1 203, Алматы,https://europharma.kz/indapamid-sr-15-mg-no30-tabl
Розувастатин-Тева 10 мг № 30 табл,2023-03-28,3 241, Алматы,https://europharma.kz/rozuvastatin-teva-10-mg-no-30-tabl
Парацетамол-УБФ 500 мг № 10 табл,2023-03-28,73, Алматы,https://europharma.kz/paratsetamol-ubf-500-mg-no-10-tabl
"Меверин 0,2 г № 30 капс",2023-03-28,2 944, Алматы,https://europharma.kz/meverin-02-g-no-30-kaps
Кардиомагнил 150мг № 30 табл п/плён оболоч,2023-03-28,1 433, Алматы,https://europharma.kz/kardiomagnil-150mg-no-30-tabl-pplen-oboloch
Милдронат 500 мг № 60 капс,2023-03-28,7 638, Алматы,https://europharma.kz/mildronat-500-mg-no-60-kaps
"Преднизолон 30 мг 1 мл, №3, амп.",2023-03-28,543, Алматы,https://europharma.kz/prednizolon-30-mg-1-ml-no3-amp-2
Ушные фито-воронки №2,2023-03-28,378, Алматы,https://europharma.kz/ushnyye-fito-voronki-no2
"Текназол 100 мг, №15, капс.",2023-03-28,6 218, Алматы,https://europharma.kz/teknazol-100-mg-no15-kaps
Глицерин 25 мл флак,2023-03-28,182, Алматы,https://europharma.kz/glitserin-25-ml-flak
Назоферон 100000 МЕ/мл 5 мл капли назальные,2023-03-28,3 208, Алматы,https://europharma.kz/nazoferon-100000-meml-5-ml-kapli-nazalnyye
Инсти для детей № 5 пакетики,2023-03-28,757, Алматы,https://europharma.kz/insti-dlya-detey-no-5-paketiki
Индометациновая 10% 40 г мазь,2023-03-28,299, Алматы,https://europharma.kz/indometatsinovaya-10-40-g-maz
Гальвус® 50 мг № 28 табл,2023-03-28,3 781, Алматы,https://europharma.kz/galvus-50-mg-no-28-tabl
Гептрал 400 мг № 20 табл,2023-03-28,11 123, Алматы,https://europharma.kz/geptral-400-mg-no-20-tabl
Линефлорум № 30 жев.табл,2023-03-28,4 282, Алматы,https://europharma.kz/lineflorum-no-30-zhevtabl
Моресерк 16 мг № 30 табл,2023-03-28,2 919, Алматы,https://europharma.kz/moreserk-16-mg-no-30-tabl
Аджисепт со вкусом ментол+эвкалипт № 24 леденцы,2023-03-28,1 043, Алматы,https://europharma.kz/adzhisept-so-vkusom-mentolevkalipt-no-24-ledentsy
"Катионорм 10 мл, гл. капли",2023-03-28,5 732, Алматы,https://europharma.kz/kationorm-10-ml-gl-kapli
"Текназол 100 мг, №4, капс.",2023-03-28,2 719, Алматы,https://europharma.kz/teknazol-100-mg-no4-kaps
Випросал В д/наруж применения 50 г мазь,2023-03-28,3 298, Алматы,https://europharma.kz/viprosal-v-dnaruzh-primeneniya-50-g-maz
"Ушные фитосвечи №2, дет.",2023-03-28,363, Алматы,https://europharma.kz/ushnyye-fitosvechi-no2-det
Линкас Бальзам 25 гр мазь,2023-03-28,1 011, Алматы,https://europharma.kz/linkas-balzam-25-gr-maz
Аджисепт со вкусом клубники № 24 леденцы,2023-03-28,1 000, Алматы,https://europharma.kz/adzhisept-so-vkusom-klubniki-no-24-ledentsy
"Ксефокам 4 мг, №10, табл.",2023-03-28,781, Алматы,https://europharma.kz/ksefokam-4-mg-no10-tabl
Улкарил 5% 10 гр крем,2023-03-28,1 394, Алматы,https://europharma.kz/ulkaril-5-10-gr-krem
Сиофор 1000 мг № 60 табл,2023-03-28,2 753, Алматы,https://europharma.kz/siofor-1000-mg-no-60-tabl
"Синафлан 0,025% 15 г мазь",2023-03-28,365, Алматы,https://europharma.kz/sinaflan-0025-15-g-maz
Маалокс 400 мг № 20 табл. жев.,2023-03-28,1 394, Алматы,https://europharma.kz/maaloks-400-mg-no-20-tabl-zhev
"Телзап плюс 40 мг/12,5 мг № 30 табл",2023-03-28,3 330, Алматы,https://europharma.kz/telzap-plyus-40-mg125-mg-no-30-tabl
Аджисепт со вкусом вишни № 24 леденцы,2023-03-28,995, Алматы,https://europharma.kz/adzhisept-so-vkusom-vishni-no-24-ledentsy
"Тафлотан 15 мкг/мл 2,5 мл  флак-капельница",2023-03-28,4 271, Алматы,https://europharma.kz/taflotan-15-mkgml-25-ml-flak-kapelnitsa
"Ихтиоловая 10% 25 гр, мазь",2023-03-28,292, Алматы,https://europharma.kz/ihtiolovaa-10-25-gr-maz
Флунол 50 мг № 7 капс,2023-03-28,3 544, Алматы,https://europharma.kz/flunol-50-mg-no-7-kaps
Ибуфен Д форте 200мг/5мл 100мл суспензия для приема внутрь,2023-03-28,1 906, Алматы,https://europharma.kz/ibufen-d-forte-200mg5ml-100ml-suspenziya-dlya-priyema-vnutr
Бетасалик-КМП д/наруж применения 15 г мазь,2023-03-28,1 778, Алматы,https://europharma.kz/betasalik-kmp-dnaruzh-primeneniya-15-g-maz
"Вобилон 80 мг, №30, капс.",2023-03-28,4 257, Алматы,https://europharma.kz/vobilon-80-mg-no30-kaps
Небидо р-р 250 мг/4 мл № 1 фл,2023-03-28,41 816, Алматы,https://europharma.kz/nebido-r-r-250-mg4-ml-no-1-fl
Аджисепт со вкусом меда № 24 леденцы,2023-03-28,995, Алматы,https://europharma.kz/adzhisept-so-vkusom-meda-no-24-ledentsy
Лекролин 4% 5 мл капли глазные,2023-03-28,1 928, Алматы,https://europharma.kz/lekrolin-4-5-ml-kapli-glaznyye
"Фраксипарин 0,4 мг № 10 раствор в шприцах",2023-03-28,21 847, Алматы,https://europharma.kz/fraksiparin-04-mg-no-10-rastvor-v-shpritsakh
Актовегин 200 мг № 50 табл покрытые оболочкой,2023-03-28,10 195, Алматы,https://europharma.kz/aktovegin-200-mg-no-50-tabl-pokrytyye-obolochkoy
Пирантел 250 мг № 3 табл.,2023-03-28,808, Алматы,https://europharma.kz/pirantel-250-mg-no-3-tabl
Йод 5%  20 мл раствор спиртовой,2023-03-28,351, Алматы,https://europharma.kz/yod-5-20-ml-rastvor-spirtovoy
Этодин Форт 400 мг № 7 табл,2023-03-28,1 207, Алматы,https://europharma.kz/etodin-fort-400-mg-no-7-tabl
Бензилбензоат Гриндекс  д/наруж применения 200 мг/г  30 г мазь,2023-03-28,2 073, Алматы,https://europharma.kz/benzilbenzoat-grindeks-dnaruzh-primeneniya-200-mgg-30-g-maz
"Ушные фитосвечи №4, взр.",2023-03-28,717, Алматы,https://europharma.kz/usnye-fitosveci-no4-vzr
Инсти-чай б/сахара травянной № 5 пакетики,2023-03-28,704, Алматы,https://europharma.kz/insti-chay-bsakhara-travyannoy-no-5-paketiki
Розувастатин-Тева 20 мг № 30 табл,2023-03-28,4 756, Алматы,https://europharma.kz/rozuvastatin-teva-20-mg-no-30-tabl
"Лизиноприл 5 мг, №30, табл.",2023-03-28,606, Алматы,https://europharma.kz/lizinopril-5-mg-no30-tabl
"Дусконал ретард 200 мг №30,капс",2023-03-28,3 941, Алматы,https://europharma.kz/duskonal-retard-200-mg-no30kaps
Кальций Д3 со вкусом мяты 500 мг № 120 табл,2023-03-28,4 916, Алматы,https://europharma.kz/kaltsiy-d3-so-vkusom-myaty-500-mg-no-120-tabl
Климаксан 10 гр гранулы,2023-03-28,938, Алматы,https://europharma.kz/klimaksan-10-gr-granuly
"Тиоцетам №60, табл.",2023-03-28,4 677, Алматы,https://europharma.kz/tiocetam-no60-tabl
САНАКОР НЕФРО №30 капсулы,2023-03-28,2 824, Алматы,https://europharma.kz/sanakor-nefro-no30-kapsuly
Риварокс 20 мг № 30 табл,2023-03-28,19 342, Алматы,https://europharma.kz/rivaroks-20-mg-no-30-tabl
"Риномарис 0,05% 15 мл спрей назальный",2023-03-28,2 470, Алматы,https://europharma.kz/rinomaris-005-15-ml-sprey-nazalnyy
Офтаквикс 5 мг/мл  5 мл гл. капли,2023-03-28,3 861, Алматы,https://europharma.kz/oftakviks-5-mgml-5-ml-gl-kapli
"Ванатекс 160 мг, №28, табл.",2023-03-28,4 360, Алматы,https://europharma.kz/vanateks-160-mg-no28-tabl
Милдронат 250 мг № 40 капс,2023-03-28,4 626, Алматы,https://europharma.kz/mildronat-250-mg-no-40-kaps
Стрептоцидовая 10% 25 гр мазь,2023-03-28,339, Алматы,https://europharma.kz/streptotsidovaya-10-25-gr-maz
"Гидрокортизон 1%, 10 гр, мазь",2023-03-28,396, Алматы,https://europharma.kz/gidrokortizon-1-10-gr-maz
"Терфалин 250 мг, №14, табл.",2023-03-28,5 632, Алматы,https://europharma.kz/terfalin-250-mg-no14-tabl
Троксевазин 300 мг № 50 капс,2023-03-28,5 646, Алматы,https://europharma.kz/troksevazin-300-mg-no-50-kaps
"Риномарис 0,1% 15 мл спрей назальный",2023-03-28,2 503, Алматы,https://europharma.kz/rinomaris-01-15-ml-sprey-nazalnyy
Актовегин раствор д/инъекций 40 мг/мл 5 мл № 5 амп,2023-03-28,4 117, Алматы,https://europharma.kz/aktovegin-rastvor-dinyektsiy-40-mgml-5-ml-no-5-amp
Аджисепт со вкусом банана № 24 леденцы,2023-03-28,1 000, Алматы,https://europharma.kz/adzhisept-so-vkusom-banana-no-24-ledentsy
Максигра 100 мг № 1 табл покрытые оболочкой,2023-03-28,2 439, Алматы,https://europharma.kz/maksigra-100-mg-no-1-tabl-pokrytyye-obolochkoy
"Ретиналамин 5 мг, №10, (для леч.заб.глаз)",2023-03-28,32 082, Алматы,https://europharma.kz/retinalamin-5-mg-no10-dla-leczabglaz
Фезам № 60 капс,2023-03-28,3 117, Алматы,https://europharma.kz/fezam-no-60-kaps
Повидон-йод 10% д/наруж применения 30 мл раствор,2023-03-28,305, Алматы,https://europharma.kz/povidon-yod-10-dnaruzh-primeneniya-30-ml-rastvor
Телзап плюс 80 мг/25 мг № 30 табл,2023-03-28,4 115, Алматы,https://europharma.kz/telzap-plyus-80-mg25-mg-no-30-tabl
Аджисепт со вкусом малины № 24 леденцы,2023-03-28,1 000, Алматы,https://europharma.kz/adzhisept-so-vkusom-maliny-no-24-ledentsy
Ксефокам 8 мг № 10 табл п/плён оболоч,2023-03-28,1 396, Алматы,https://europharma.kz/ksefokam-8-mg-no-10-tabl-pplen-oboloch
Максигра 100 мг № 4 табл покрытые оболочкой,2023-03-28,7 060, Алматы,https://europharma.kz/maksigra-100-mg-no-4-tabl-pokrytyye-obolochkoy
Камфорное 10% 50 мл масло,2023-03-28,409, Алматы,https://europharma.kz/kamfornoye-10-50-ml-maslo
"Эфизол №20, табл.",2023-03-28,1 471, Алматы,https://europharma.kz/efizol-no20-tabl
"Симбикорт Турбухалер 80/4,5 мкг/доза 60 доз порошок для ингаляций дозированный",2023-03-28,10 634, Алматы,https://europharma.kz/simbikort-turbukhaler-8045-mkgdoza-60-doz-poroshok-dlya-ingalyatsiy-dozirovannyy
"Нейромидин 1,5 % 1 мл № 10 амп",2023-03-28,11 341, Алматы,https://europharma.kz/neyromidin-15-1-ml-no-10-amp
"Броксинак 0,09% 1,7 мл капли глазные",2023-03-28,4 764, Алматы,https://europharma.kz/broksinak-009-17-ml-kapli-glaznyye
Суперчистотел 1 мл,2023-03-28,251, Алматы,https://europharma.kz/superchistotel-1-ml
"Траволайф  мед, мята, лимон № 250 пастилки",2023-03-28,5 533, Алматы,https://europharma.kz/travolayf-med-myata-limon-no-250-pastilki
Офтан Катахром 10 мл капли глазные,2023-03-28,2 070, Алматы,https://europharma.kz/oftan-katakhrom-10-ml-kapli-glaznyye
Левомицетина натрия сукцинат-КМП 1 гр № 1 порошок для приготовления раствора для инъекций,2023-03-28,574, Алматы,https://europharma.kz/levomitsetina-natriya-suktsinat-kmp-1-gr-no-1-poroshok-dlya-prigotovleniya-rastvora-dlya-inyektsiy
Анаферон детский № 20 табл,2023-03-28,2 043, Алматы,https://europharma.kz/anaferon-detskiy-no-20-tabl
Беневрон Б раствор д/инъекций 3 мл № 5 амп,2023-03-28,4 225, Алматы,https://europharma.kz/benevron-b-rastvor-dinyektsiy-3-ml-no-5-amp
Эриус 5 мг № 10 табл покрытые оболочкой,2023-03-28,5 277, Алматы,https://europharma.kz/erius-5-mg-no-10-tabl-pokrytyye-obolochkoy
Смекта 3 гр № 10 порошок,2023-03-28,1 724, Алматы,https://europharma.kz/smekta-3-gr-no-10-poroshok
"Ванатекс Комби 160 мг/12,5 мг, №28, табл.",2023-03-28,4 794, Алматы,https://europharma.kz/vanateks-kombi-160-mg125-mg-no28-tabl
"Левозин 750 мг, №5, табл.",2023-03-28,2 290, Алматы,https://europharma.kz/levozin-750-mg-no5-tabl
Седавит № 20 табл,2023-03-28,2 009, Алматы,https://europharma.kz/sedavit-no-20-tabl
Успокой № 20 табл,2023-03-28,733, Алматы,https://europharma.kz/uspokoy-no-20-tabl
Кетонал актив 50 мг № 30 гранулы,2023-03-28,3 448, Алматы,https://europharma.kz/ketonal-aktiv-50-mg-no-30-granuly
Карнилев 100 мг/мл 10 мл № 10 раствор оральный,2023-03-28,5 346, Алматы,https://europharma.kz/karnilev-100-mgml-10-ml-no-10-rastvor-oralnyy
Афлубин 20 мл капли,2023-03-28,2 076, Алматы,https://europharma.kz/aflubin-20-ml-kapli
Витазим № 30 табл.,2023-03-28,3 457, Алматы,https://europharma.kz/vitazim-no-30-tabl
"Касторовое масло 30 мл, фл.",2023-03-28,352, Алматы,https://europharma.kz/kastorovoye-maslo-30-ml-fl
Левозин 500 мг № 5 табл п/плён оболоч,2023-03-28,4 768, Алматы,https://europharma.kz/levozin-500-mg-no-5-tabl-pplen-oboloch
Климаксан № 20 табл,2023-03-28,836, Алматы,https://europharma.kz/klimaksan-no-20-tabl
Риварокс 15 мг № 30 табл,2023-03-28,23 464, Алматы,https://europharma.kz/rivaroks-15-mg-no-30-tabl
"Энтеросгель 225 гр, паста",2023-03-28,5 760, Алматы,https://europharma.kz/enterosgel-225-gr-pasta
БиоЗим №30 капс,2023-03-28,5 398, Алматы,https://europharma.kz/biozim-no30-kaps
"Телсартан Н 80 мг/12,5 мг №28 табл",2023-03-28,2 874, Алматы,https://europharma.kz/telsartan-n-80-mg125-mg-no28-tabl
"Ванатекс 80 мг, №28, табл.",2023-03-28,2 731, Алматы,https://europharma.kz/vanateks-80-mg-no28-tabl
Актовегин раствор д/инъекций 40 мг/мл 10 мл № 5 амп,2023-03-28,7 647, Алматы,https://europharma.kz/aktovegin-rastvor-dinyektsiy-40-mgml-10-ml-no-5-amp
"Карлон 10 мг, №20, табл.",2023-03-28,750, Алматы,https://europharma.kz/karlon-10-mg-no20-tabl
